,name,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,key,mood
76,I Love You So,0.575,0.648,-4.891,0.0358,0.583,0.0,0.115,0.466,75.977,10,calm
77,Euphoria,0.409,0.926,-5.756,0.0334,0.000118,0.968,0.142,0.0619,91.701,0,calm
78,Beyond,0.581,0.687,-5.4,0.105,0.229,0.0,0.109,0.187,76.014,6,calm
79,As I Should,0.657,0.596,-6.319,0.159,0.374,0.0,0.222,0.567,83.589,8,calm
80,Sparks,0.371,0.268,-10.506,0.0281,0.748,0.0517,0.104,0.165,102.617,1,calm
81,apathy,0.565,0.277,-11.908,0.0433,0.899,0.861,0.123,0.0383,128.718,9,calm
82,Life Of The Party,0.666,0.615,-4.995,0.0314,0.0663,0.0,0.111,0.161,113.978,10,calm
83,Waves,0.518,0.729,-7.193,0.0452,0.183,0.0,0.0643,0.343,156.879,11,calm
84,"Hey, Soul Sister",0.675,0.885,-4.432,0.0436,0.217,0.0,0.086,0.768,97.03,1,calm
85,Jealous,0.439,0.153,-8.95,0.0479,0.874,0.0,0.107,0.104,116.76,1,calm
86,Wisteria,0.596,0.834,-7.591,0.0318,0.0766,0.792,0.111,0.25,130.042,11,calm
87,Memories,0.764,0.32,-7.209,0.0546,0.837,0.0,0.0822,0.575,91.019,11,calm
88,Yellow,0.429,0.661,-7.227,0.0281,0.00239,0.000121,0.234,0.285,173.372,11,calm
89,so cold,0.336,0.38,-12.515,0.0314,0.123,0.857,0.0786,0.0351,107.031,5,calm
90,Heather,0.357,0.425,-7.301,0.0333,0.584,0.0,0.322,0.27,102.078,5,calm
91,Big Girls Cry,0.469,0.592,-4.962,0.0399,0.0393,0.0,0.105,0.0938,161.996,5,calm
92,Ghost Boy,0.792,0.634,-6.566,0.0348,0.245,7.11e-06,0.136,0.322,99.989,4,calm
93,Missed,0.404,0.21,-9.127,0.0394,0.951,0.0,0.0948,0.294,134.578,5,calm
94,Backseat (Kiss Me),0.75,0.548,-7.704,0.0492,0.111,0.0,0.0633,0.497,101.031,2,calm
95,Cigarettes & Wine,0.535,0.725,-8.836,0.0611,0.00319,6.6e-06,0.211,0.625,159.931,5,calm
96,Never Be Alone,0.376,0.466,-6.927,0.0353,0.514,5.8e-05,0.0781,0.276,199.835,10,calm
97,Not About Angels,0.405,0.111,-11.879,0.0369,0.964,4.37e-05,0.0872,0.219,116.86,0,calm
98,Champione,0.799,0.546,-6.042,0.0997,0.188,6.42e-06,0.0995,0.148,139.93,1,calm
99,Stay With Me,0.414,0.419,-6.431,0.0388,0.55,0.000195,0.11,0.18,84.082,0,calm
100,Born This Way,0.587,0.828,-5.108,0.161,0.00327,0.0,0.331,0.494,123.907,11,energetic
101,Permission to Dance,0.702,0.741,-5.33,0.0427,0.00544,0.0,0.337,0.646,124.925,9,energetic
102,Dynamite,0.746,0.765,-4.41,0.0993,0.0112,0.0,0.0936,0.737,114.044,6,energetic
103,Butter,0.759,0.459,-5.187,0.0948,0.00323,0.0,0.0906,0.695,109.997,8,energetic
104,Sugar,0.729,0.786,-6.348,0.0337,0.0747,0.0,0.0878,0.87,120.068,1,energetic
105,Counting Stars,0.664,0.705,-4.972,0.0382,0.0654,0.0,0.118,0.477,122.016,1,energetic
106,Uptown Funk (feat. Bruno Mars),0.856,0.609,-7.223,0.0824,0.00801,8.15e-05,0.0344,0.928,114.988,0,energetic
107,Classic,0.72,0.79,-4.686,0.125,0.0383,0.0,0.156,0.755,102.068,1,energetic
108,Pompeii,0.679,0.715,-6.383,0.0407,0.0755,0.0,0.271,0.571,127.435,9,energetic
109,The Lazy Song,0.794,0.711,-5.124,0.0699,0.3,0.0,0.0955,0.955,174.915,8,energetic
110,Call Me Maybe,0.783,0.58,-6.548,0.0408,0.0114,2.28e-06,0.108,0.66,120.021,7,energetic
111,Last Friday Night (T.G.I.F.),0.652,0.812,-3.797,0.0409,0.00125,3.01e-05,0.667,0.72,126.023,3,energetic
112,Firework,0.638,0.832,-5.039,0.049,0.141,0.0,0.113,0.648,124.071,8,energetic
113,Try Everything,0.705,0.609,-4.897,0.0307,0.0257,0.0,0.0846,0.476,115.474,1,energetic
114,"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")",0.666,0.83,-5.715,0.0751,0.0123,0.0,0.191,0.702,113.03,0,energetic
115,Get Back Up Again,0.704,0.713,-3.411,0.0719,0.0142,0.0,0.238,0.592,99.301,7,energetic
116,Cups (Pitch Perfect’s “When I’m Gone”) - Pop Version,0.887,0.441,-8.98,0.114,0.0514,0.00667,0.0338,0.715,129.908,0,energetic
117,Bang Bang,0.706,0.786,-3.417,0.091,0.26,0.0,0.38,0.751,150.028,0,energetic
118,Dear Future Husband,0.655,0.782,-4.789,0.185,0.375,0.0,0.317,0.832,79.427,1,energetic
119,Bad Romance,0.696,0.921,-3.755,0.0363,0.00314,5.24e-05,0.0842,0.714,119.001,0,energetic
120,Poker Face,0.851,0.806,-4.62,0.0787,0.118,1.64e-06,0.121,0.787,118.999,4,energetic
121,Just Dance,0.822,0.739,-4.541,0.0311,0.0264,4.26e-05,0.181,0.745,118.992,1,energetic
122,Stupid Love,0.68,0.825,-4.296,0.0702,0.00173,0.000122,0.27,0.784,117.987,8,energetic
123,Fresh Eyes,0.828,0.56,-6.685,0.0327,0.548,3.66e-05,0.15,0.872,122.054,0,energetic
124,Good Time,0.56,0.872,-4.269,0.14,0.0239,6.98e-06,0.371,0.682,126.05,3,energetic
125,Somebody To You,0.526,0.818,-5.952,0.0358,0.0587,0.0,0.333,0.896,171.96,3,energetic
126,All Night,0.538,0.804,-5.194,0.0358,0.0041,0.0,0.33,0.507,144.992,8,energetic
127,Just My Type,0.61,0.87,-4.012,0.0693,0.00299,0.0,0.064,0.523,125.014,2,energetic
128,Can We Dance,0.64,0.82,-4.729,0.0464,0.00312,0.0,0.189,0.583,130.108,1,energetic
129,Oh Cecilia (Breaking My Heart),0.746,0.844,-5.506,0.0339,0.0315,0.0,0.318,0.662,100.027,11,energetic
130,Teeth,0.756,0.448,-2.993,0.0404,0.0508,3.87e-06,0.11,0.431,139.031,3,energetic
131,She Looks So Perfect,0.494,0.951,-4.237,0.132,0.000569,0.0,0.327,0.441,160.025,9,energetic
132,Amnesia,0.594,0.497,-5.26,0.0303,0.0343,0.0,0.162,0.101,101.668,2,energetic
133,What Makes You Beautiful,0.726,0.787,-2.494,0.0737,0.009,0.0,0.0596,0.888,124.99,4,energetic
134,Story of My Life,0.6,0.663,-5.802,0.0477,0.225,0.0,0.119,0.286,121.07,3,energetic
135,Drag Me Down,0.73,0.703,-5.672,0.0369,0.109,0.0,0.0657,0.595,138.113,0,energetic
136,Steal My Girl,0.536,0.768,-5.948,0.0347,0.00433,0.0,0.114,0.545,77.217,10,energetic
137,They Don't Know About Us,0.514,0.727,-6.131,0.0492,0.126,0.0,0.0978,0.37,147.917,0,energetic
138,Best Song Ever,0.652,0.877,-2.986,0.0465,0.0227,0.0,0.0789,0.486,118.491,1,energetic
139,Night Changes,0.672,0.52,-7.747,0.0353,0.859,0.0,0.115,0.37,120.001,8,energetic
140,18,0.681,0.582,-7.76,0.0313,0.22,0.0,0.119,0.221,124.038,6,energetic
141,You & I,0.574,0.329,-6.829,0.0274,0.22,0.0,0.0986,0.356,130.993,1,energetic
142,Best Song Ever,0.652,0.877,-2.986,0.0465,0.0227,0.0,0.0789,0.486,118.491,1,energetic
143,Midnight Memories,0.432,0.868,-2.01,0.0882,0.00725,0.0,0.233,0.567,156.128,6,energetic
144,Little White Lies,0.591,0.899,-3.768,0.0536,0.00726,0.0,0.393,0.446,139.547,0,energetic
145,Cheerleader - Felix Jaehn Remix Radio Edit,0.782,0.685,-6.237,0.0309,0.166,1.18e-05,0.16,0.603,118.016,4,energetic
146,FAKE LOVE,0.557,0.719,-4.515,0.0372,0.00267,0.0,0.306,0.344,77.501,2,energetic
147,Never Gonna Give You Up,0.721,0.939,-11.823,0.0376,0.115,3.79e-05,0.108,0.914,113.309,8,energetic
148,Black Magic,0.776,0.875,-5.535,0.0575,0.0343,0.0,0.314,0.849,111.988,4,energetic
149,Me And My Broken Heart,0.545,0.783,-4.261,0.0345,0.00489,0.0,0.132,0.551,174.084,5,energetic
150,One Thing,0.713,0.718,-3.806,0.0278,0.00233,0.0,0.0838,0.656,126.999,2,energetic
151,Troublemaker,0.762,0.863,-3.689,0.0561,0.015,0.0,0.125,0.965,106.012,0,energetic
152,Shut Up and Dance,0.578,0.866,-3.804,0.0619,0.00701,0.0,0.257,0.619,128.038,1,energetic
153,Heart Attack,0.504,0.785,-4.802,0.104,0.0738,0.0,0.239,0.502,173.968,8,energetic
154,Payphone,0.743,0.752,-4.813,0.0414,0.0188,0.0,0.287,0.545,110.015,4,energetic
155,Blank Space,0.76,0.703,-5.412,0.054,0.103,0.0,0.0913,0.57,95.997,5,energetic
156,Better When I'm Dancin',0.756,0.789,-7.002,0.0324,0.53,0.000711,0.157,0.873,127.987,2,energetic
157,22,0.661,0.729,-6.561,0.0376,0.00215,0.0013,0.0477,0.668,103.987,7,energetic
158,I Really Like You,0.62,0.805,-5.538,0.0417,0.00564,9.15e-05,0.285,0.586,122.062,5,energetic
159,Party In The U.S.A.,0.652,0.698,-4.667,0.042,0.00112,0.000115,0.0886,0.47,96.021,10,energetic
160,Lips Are Movin,0.775,0.825,-5.402,0.0464,0.0506,1.03e-06,0.111,0.95,139.091,7,energetic
161,Running,0.572,0.85,-3.112,0.0558,0.203,0.0,0.313,0.608,139.986,2,energetic
162,I'm Still Standing,0.504,0.904,-6.863,0.179,0.356,0.121,0.14,0.772,176.808,6,energetic
163,I'm Still Standing,0.589,0.903,-4.439,0.146,0.00663,0.0,0.0734,0.691,175.216,10,energetic
164,Set It All Free,0.489,0.856,-4.485,0.13,6.34e-06,0.00584,0.111,0.524,134.114,6,energetic
165,Don't You Worry 'Bout A Thing,0.617,0.832,-4.192,0.0942,0.0222,1.92e-05,0.116,0.573,127.022,1,energetic
166,Wake Me Up Before You Go-Go,0.62,0.573,-11.893,0.0423,0.271,0.0,0.0607,0.897,81.548,0,energetic
167,I Knew You Were Trouble.,0.622,0.469,-6.798,0.0363,0.00454,2.25e-06,0.0335,0.679,77.019,3,energetic
168,Starships,0.747,0.716,-2.457,0.075,0.135,0.0,0.251,0.751,125.008,11,energetic
169,STAY (with Justin Bieber),0.591,0.764,-5.484,0.0483,0.0383,0.0,0.103,0.478,169.928,1,energetic
170,Electric Love,0.611,0.797,-7.627,0.0533,0.00543,0.00137,0.26,0.518,120.041,6,energetic
171,Wildest Dreams,0.553,0.664,-7.417,0.0741,0.0709,0.0056,0.106,0.467,140.06,8,energetic
172,Best Day Of My Life,0.673,0.902,-2.392,0.0346,0.0591,0.000262,0.0558,0.538,100.012,2,energetic
173,Roar,0.554,0.772,-4.821,0.0418,0.00487,6.6e-06,0.354,0.455,179.984,7,energetic
174,Rude,0.773,0.758,-4.993,0.0381,0.0422,0.0,0.305,0.925,144.033,1,energetic
175,Olivia,0.64,0.681,-5.362,0.0334,0.0438,0.0,0.166,0.676,118.062,6,energetic
176,Still into You,0.602,0.923,-3.763,0.044,0.0098,0.0,0.0561,0.765,136.01,5,energetic
177,"When Can I See You Again? - From ""Wreck-It Ralph""/Soundtrack Version",0.638,0.831,-6.812,0.081,0.0263,0.0,0.0491,0.388,127.975,11,energetic
178,Hopelessly Devoted to You,0.575,0.654,-3.036,0.031,0.0619,0.00322,0.0831,0.416,110.585,11,energetic
179,"Sit Still, Look Pretty",0.655,0.787,-3.031,0.264,0.122,3.11e-06,0.178,0.554,181.799,2,energetic
180,My Morena Girl,0.768,0.374,-11.811,0.0366,0.442,0.000653,0.114,0.617,125.039,1,energetic
181,La Da Dee,0.657,0.828,-5.544,0.0728,0.00847,0.0,0.326,0.566,115.954,5,energetic
182,2002,0.697,0.683,-2.881,0.117,0.0372,0.0,0.137,0.603,96.133,1,energetic
183,Eenie Meenie,0.72,0.607,-4.168,0.0322,0.0543,0.0,0.113,0.828,121.223,1,energetic
184,Love Me,0.729,0.868,-3.319,0.0609,0.00939,0.0,0.283,0.632,124.957,3,energetic
185,Kiss You,0.637,0.93,-2.632,0.0511,0.0177,0.0,0.452,0.886,90.014,4,energetic
186,Live While We're Young,0.663,0.857,-2.16,0.0544,0.0542,0.0,0.144,0.931,126.039,2,energetic
187,Die Young,0.711,0.7,-4.805,0.046,0.00498,0.000125,0.215,0.801,128.001,1,energetic
188,Shout Out to My Ex,0.773,0.747,-4.061,0.0885,0.0242,8.99e-06,0.109,0.801,126.014,5,energetic
189,Shake It Off,0.647,0.8,-5.384,0.165,0.0647,0.0,0.334,0.942,160.078,7,energetic
190,TiK ToK,0.755,0.837,-2.718,0.142,0.0991,0.0,0.289,0.714,120.028,2,energetic
191,Girl on Fire,0.482,0.706,-5.762,0.0607,0.135,0.00106,0.105,0.144,92.513,9,energetic
192,Part Of Me,0.667,0.922,-4.645,0.0353,0.000354,0.0,0.0867,0.761,130.01,5,energetic
193,"Hey, Soul Sister",0.673,0.886,-4.44,0.0431,0.185,0.0,0.0826,0.795,97.012,1,energetic
194,Better When I'm Dancing,0.751,0.743,-8.125,0.0364,0.663,0.101,0.125,0.899,128.006,2,energetic
195,History,0.655,0.699,-4.421,0.0493,0.0352,0.0,0.064,0.802,86.704,11,energetic
196,Stitches,0.746,0.754,-6.684,0.0676,0.0152,0.0,0.0486,0.746,149.882,1,energetic
197,Baliw,0.65,0.601,-9.131,0.0265,0.135,0.000778,0.294,0.63,108.016,8,energetic
198,Dirty Mind,0.642,0.861,-3.837,0.294,0.0318,0.0,0.23,0.582,92.912,4,energetic
199,Play Date,0.68,0.729,-5.077,0.0475,0.612,0.0,0.224,0.446,123.97,5,energetic
200,Happier,0.687,0.792,-2.749,0.0452,0.191,0.0,0.167,0.671,100.015,5,happy
201,Heat Waves,0.761,0.525,-6.9,0.0944,0.44,6.7e-06,0.0921,0.531,80.87,11,happy
202,I Ain't Worried,0.704,0.797,-5.927,0.0475,0.0826,0.000745,0.0546,0.825,139.994,0,happy
203,Sunshine,0.697,0.875,-4.621,0.034,0.137,0.0,0.28,0.774,140.069,5,happy
204,Bad Habits,0.807,0.893,-3.745,0.0347,0.0451,2.79e-05,0.366,0.537,126.011,11,happy
205,Ain't My Fault,0.576,0.782,-4.825,0.0296,0.00778,0.0,0.285,0.355,141.153,6,happy
206,Havana (feat. Young Thug),0.765,0.523,-4.333,0.03,0.184,3.56e-05,0.132,0.394,104.988,2,happy
207,New Rules,0.762,0.7,-6.021,0.0694,0.00261,1.56e-05,0.153,0.608,116.073,9,happy
208,Don't Let Me Down,0.532,0.869,-5.094,0.172,0.157,0.00508,0.136,0.422,159.803,11,happy
209,Titanium (feat. Sia),0.604,0.788,-3.673,0.103,0.0678,0.153,0.127,0.301,126.06,0,happy
210,Cheap Thrills,0.628,0.698,-5.608,0.105,0.0472,0.00143,0.0907,0.732,89.976,6,happy
211,Lean On (feat. MØ & DJ Snake),0.723,0.809,-3.081,0.0625,0.00346,0.00123,0.565,0.274,98.007,7,happy
212,No Ordinary Girl - Theme,0.452,0.894,-3.828,0.0485,0.00179,0.0,0.115,0.552,156.067,5,happy
213,"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")",0.669,0.832,-5.721,0.0682,0.0106,0.0,0.0968,0.7,113.035,0,happy
214,Ghost,0.601,0.741,-5.569,0.0478,0.185,2.91e-05,0.415,0.441,153.96,2,happy
215,Golden,0.448,0.838,-5.257,0.0557,0.21,0.000131,0.131,0.254,139.863,4,happy
216,Break My Heart,0.73,0.729,-3.434,0.0884,0.167,1.39e-06,0.349,0.467,113.011,4,happy
217,Sweet but Psycho,0.72,0.706,-4.719,0.0473,0.0684,0.0,0.166,0.62,133.002,1,happy
218,Sunflower - Spider-Man: Into the Spider-Verse,0.76,0.479,-5.574,0.0466,0.556,0.0,0.0703,0.913,89.911,2,happy
219,Unstoppable,0.485,0.843,-3.993,0.0467,0.00129,1.01e-05,0.14,0.602,78.001,1,happy
220,Demons,0.505,0.71,-3.015,0.0321,0.19,0.00025,0.329,0.428,89.938,3,happy
221,Thunder,0.605,0.822,-4.833,0.0438,0.00671,0.134,0.147,0.288,167.997,0,happy
222,Believer,0.776,0.78,-4.374,0.128,0.0622,0.0,0.081,0.666,124.949,10,happy
223,Radioactive,0.448,0.784,-3.686,0.0627,0.106,0.000108,0.668,0.236,136.245,9,happy
224,Rain On Me (with Ariana Grande),0.672,0.855,-3.764,0.0397,0.021,0.0,0.323,0.646,123.056,9,happy
225,Stressed Out,0.734,0.637,-5.677,0.141,0.0462,2.29e-05,0.0602,0.648,169.977,4,happy
226,Counting Stars,0.664,0.705,-4.972,0.0382,0.0654,0.0,0.115,0.477,122.017,1,happy
227,On & On,0.451,0.692,-4.741,0.0398,0.287,0.0,0.115,0.423,174.122,11,happy
228,Old Church Choir,0.675,0.814,-5.816,0.0347,0.125,0.0,0.163,0.607,103.989,0,happy
229,Raise a Hallelujah (Studio Version),0.42,0.823,-4.889,0.0434,0.00985,0.0,0.103,0.517,163.997,1,happy
230,My Lighthouse,0.545,0.805,-5.792,0.0491,0.0326,0.0,0.781,0.727,110.005,0,happy
231,Survivor,0.528,0.805,-5.286,0.0359,0.0183,0.0,0.0839,0.148,107.01,11,happy
232,Who You Say I Am - Studio Version,0.376,0.65,-8.147,0.0406,0.00406,0.0,0.089,0.321,171.907,6,happy
233,Call Me Maybe,0.783,0.58,-6.548,0.0408,0.0114,2.28e-06,0.108,0.66,120.021,7,happy
234,Pompeii,0.679,0.715,-6.383,0.0407,0.0755,0.0,0.271,0.571,127.435,9,happy
235,Shut Up and Dance,0.578,0.866,-3.804,0.0619,0.00701,0.0,0.257,0.619,128.038,1,happy
236,"Hey, Soul Sister",0.673,0.886,-4.44,0.0431,0.185,0.0,0.0826,0.795,97.012,1,happy
237,Chandelier,0.399,0.787,-2.88,0.0499,0.0197,6.07e-05,0.0685,0.572,117.089,1,happy
238,Diamonds,0.564,0.71,-4.92,0.0461,0.00125,0.0,0.109,0.393,91.972,11,happy
239,Lips Are Movin,0.775,0.825,-5.402,0.0464,0.0506,1.03e-06,0.111,0.95,139.091,7,happy
240,Fight Song,0.564,0.714,-4.987,0.129,0.0549,0.0,0.155,0.33,175.924,7,happy
241,Shotgun,0.673,0.735,-4.733,0.0457,0.286,0.0,0.242,0.754,115.744,5,happy
242,Kings & Queens,0.637,0.69,-4.057,0.0405,0.00786,0.0,0.124,0.457,129.857,1,happy
243,Butter,0.759,0.459,-5.187,0.0948,0.00323,0.0,0.0906,0.695,109.997,8,happy
244,Dynamite,0.746,0.765,-4.41,0.0993,0.0112,0.0,0.0936,0.737,114.044,6,happy
245,Blinding Lights,0.513,0.796,-4.075,0.0629,0.00147,0.000209,0.0938,0.345,171.017,1,happy
246,Levitating (feat. DaBaby),0.702,0.825,-3.787,0.0601,0.00883,0.0,0.0674,0.915,102.977,6,happy
247,Memories,0.764,0.32,-7.209,0.0546,0.837,0.0,0.0822,0.575,91.019,11,happy
248,Dance Monkey,0.824,0.592,-6.4,0.0969,0.693,0.000158,0.178,0.54,98.074,6,happy
249,Only Human,0.795,0.496,-5.883,0.0722,0.108,0.0,0.0645,0.874,94.01,0,happy
250,Party In The U.S.A.,0.652,0.698,-4.667,0.042,0.00112,0.000115,0.0886,0.47,96.021,10,happy
